year,president,allnoncerm_eo,divided,lame_duck,war,trend,administration_change,spending_percent_gdp,inflation,averagemajsize,lnlegexp,lncommtot1,lneopexp,postlra,tr,taft,wilson,harding,coolidge,hoover,fdr,truman,ike,jfk,lbj,nixon,ford,carter,reagan,bush41,clinton,bush43,obama
1937,fdr,253,0,0,0,32,0,9.579999923706055,3.609999895095825,0.7471281290054321,5.624442100524902,5.741398811340332,-2.810218095779419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1938,fdr,247,0,0,0,33,0,9.8100004196167,-1.8799999952316284,0.8098592162132263,5.763169765472412,5.769102096557617,-2.829153060913086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1939,fdr,287,0,0,0,34,0,10.039999961853027,-1.4199999570846558,0.8098592162132263,5.610733985900879,5.796058177947998,-2.8896260261535645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1940,fdr,309,0,0,0,35,0,9.920000076293945,1.0099999904632568,0.667970597743988,5.649683952331543,5.822306156158447,-1.1512659788131714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1941,fdr,382,0,0,1,36,0,11.180000305175781,4.989999771118164,0.667970597743988,5.630843162536621,5.847883224487305,-1.4148080348968506,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1942,fdr,286,0,0,1,37,0,21.959999084472656,10.65999984741211,0.6600868105888367,5.688022136688232,5.872821807861328,-1.388645052909851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1943,fdr,120,0,0,1,38,0,41.779998779296875,6.130000114440918,0.6600868105888367,5.609784126281738,5.897153854370117,-1.3362890481948853,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1944,fdr,98,0,0,1,39,0,45.72999954223633,1.7300000190734863,0.553687572479248,5.66080379486084,5.920907974243164,-1.4292789697647095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1945,truman,164,0,0,1,40,0,47.93000030517578,2.2699999809265137,0.553687572479248,5.639095783233643,5.944110870361328,-1.4350839853286743,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1946,truman,146,0,0,0,41,0,29.940000534057617,8.5600004196167,0.5705429911613464,5.2814040184021,5.966786861419678,-1.3059600591659546,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1947,truman,96,1,0,0,42,0,16.959999084472656,14.329999923706055,0.5705429911613464,5.731517791748047,5.988961219787598,-0.8619377017021179,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1948,truman,116,1,0,0,43,0,13.229999542236328,7.789999961853027,0.5444180965423584,5.75779914855957,6.104793071746826,-0.5306283235549927,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1949,truman,69,0,0,0,44,0,15.039999961853027,-0.9599999785423279,0.5444180965423584,5.848217964172363,6.208590030670166,-0.5291566252708435,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1950,truman,92,0,0,1,45,0,15.25,0.9599999785423279,0.5803270936012268,6.028680801391602,6.302618980407715,-0.5415971875190735,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1951,truman,117,0,0,1,46,0,14.420000076293945,7.889999866485596,0.5803270936012268,6.028336048126221,6.362682819366455,-0.49198248982429504,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1952,truman,112,0,1,1,47,0,19.969999313354492,2.190000057220459,0.5240976214408875,6.027754783630371,6.419342994689941,-0.508823573589325,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1953,eisenhowe,75,0,0,1,48,1,21.09000015258789,0.75,0.5240976214408875,5.99888277053833,6.472963809967041,-0.5214357972145081,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1954,eisenhowe,70,0,0,0,49,0,20.420000076293945,0.49000000953674316,0.5072060823440552,5.956354141235352,6.523856163024902,-0.5306283235549927,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,eisenhowe,65,1,0,0,50,0,17.709999084472656,-0.3700000047683716,0.5072060823440552,6.03635311126709,6.572281837463379,-0.547478973865509,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1956,eisenhowe,41,1,0,0,51,0,17.3700008392334,1.4900000095367432,0.5279386043548584,6.271121978759766,6.625391960144043,-0.47561290860176086,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1957,eisenhowe,49,1,0,0,52,0,17.739999771118164,3.569999933242798,0.5279386043548584,6.370172023773193,6.675823211669922,-0.5086231827735901,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1958,eisenhowe,48,1,0,0,53,0,18.420000076293945,2.740000009536743,0.5294349193572998,6.3685760498046875,6.723833084106445,1.484274983406067,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1959,eisenhowe,50,1,0,0,54,0,18.459999084472656,0.8299999833106995,0.5294349193572998,6.530120849609375,6.769641876220703,1.1781189441680908,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1960,eisenhowe,54,1,1,0,55,0,18.479999542236328,1.5800000429153442,0.6478971838951111,6.581892967224121,6.813445091247559,1.1642940044403076,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1961,jfk,68,0,0,0,56,1,19.25,1.0099999904632568,0.6478971838951111,6.625150203704834,6.850125789642334,1.3622380495071411,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1962,jfk,85,0,0,0,57,0,18.239999771118164,1.1399999856948853,0.6135777831077576,6.752864837646484,6.885509014129639,0.48305389285087585,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1963,jfk,57,0,0,0,58,0,18.020000457763672,1.190000057220459,0.6135777831077576,6.701742172241211,6.919683933258057,0.24013489484786987,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1964,lbj,55,0,0,1,59,0,17.860000610351562,1.340000033378601,0.6325535178184509,6.7198309898376465,6.952729225158691,0.2247752994298935,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1965,lbj,71,0,0,1,60,0,16.440000534057617,1.7100000381469727,0.6325535178184509,6.784090995788574,6.984715938568115,0.24953030049800873,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1966,lbj,54,0,0,1,61,0,17.079999923706055,2.8499999046325684,0.6772375702857971,7.096934795379639,7.031210899353027,0.30162501335144043,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1967,lbj,66,0,0,1,62,0,18.920000076293945,2.9000000953674316,0.6772375702857971,7.102130889892578,7.0756402015686035,0.3470276892185211,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1968,lbj,64,0,1,1,63,0,19.579999923706055,4.190000057220459,0.6005845069885254,7.121185779571533,7.118177890777588,0.3054581880569458,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1969,nixon,49,1,0,1,64,1,18.65999984741211,5.369999885559082,0.6005845069885254,7.1561431884765625,7.158980846405029,0.35944369435310364,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1970,nixon,70,1,0,1,65,0,18.84000015258789,5.920000076293945,0.5648568272590637,7.31807804107666,7.198184013366699,0.4571970999240875,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1971,nixon,57,1,0,1,66,0,18.649999618530273,4.300000190734863,0.5648568272590637,7.381761074066162,7.272397994995117,0.674596905708313,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1972,nixon,52,1,0,1,67,0,18.6299991607666,3.309999942779541,0.5665717720985413,7.576858043670654,7.415174961090088,0.7709085941314697,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1973,nixon,61,1,0,1,68,0,17.780000686645508,6.210000038146973,0.5665717720985413,7.627150058746338,7.467942237854004,0.6207315921783447,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1974,nixon,68,1,0,1,69,0,17.959999084472656,10.979999542236328,0.5662878751754761,7.687522888183594,7.628030776977539,0.8327575922012329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,ford,66,1,0,1,70,0,20.290000915527344,9.140000343322754,0.5662878751754761,7.748685836791992,7.914618015289307,1.0870660543441772,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1976,ford,72,1,0,0,71,0,20.3799991607666,5.760000228881836,0.644557774066925,7.760602951049805,7.965892791748047,0.8705189824104309,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1977,carter,64,0,0,0,72,1,20.15999984741211,6.449999809265137,0.644557774066925,7.930790901184082,7.9388017654418945,0.7311192750930786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1978,carter,78,0,0,0,73,0,20,7.610000133514404,0.6473417282104492,7.9352569580078125,8.00469970703125,0.6904839873313904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1979,carter,76,0,0,0,74,0,19.670000076293945,11.270000457763672,0.6473417282104492,7.882130146026611,8.064007759094238,0.6755529046058655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1980,carter,98,0,0,0,75,0,21.200000762939453,13.520000457763672,0.6127675771713257,7.918846130371094,8.04173469543457,0.7610880136489868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1981,reagan,49,1,0,0,76,1,21.690000534057617,10.380000114440918,0.6127675771713257,7.82224178314209,7.960323810577393,0.6823722124099731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
